pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
KANG_GIST_WITH_PDGFRA_DN	0.00251889168765743	0.0314828404635819	0.919519219593233	1.89606861917409	0	5	NAMPT|S100P
STANHILL_HRAS_TRANSFROMATION_UP	0.00289017341040462	0.034843052608473	0.869809253690081	2.03305233171462	0	7	DUSP1|HSPA1B|FOS|HMOX1
YANAGISAWA_LUNG_CANCER_RECURRENCE	0.00289017341040462	0.034843052608473	0.840058711691642	1.96351477675863	0	7	TMSB10|TMSB4X|FAU
DACOSTA_LOW_DOSE_UV_RESPONSE_VIA_ERCC3_XPCS_DN	0.00298507462686567	0.0358962761947837	0.83973919615856	2.03377924707755	0	8	ACTB|GAPDH|DUSP5
XU_HGF_TARGETS_REPRESSED_BY_AKT1_UP	0.0032258064516129	0.0375068917535246	0.819471608859841	2.0121183490408	0	9	SOD2|SAT1|CCL2|AREG
GUTIERREZ_WALDENSTROEMS_MACROGLOBULINEMIA_1_DN	0.0032258064516129	0.0375068917535246	0.833223548236773	2.04588465559255	0	9	S100A8|DUSP1|GPR183|TNFRSF13B|NR4A2|FOSB
MARIADASON_RESPONSE_TO_BUTYRATE_CURCUMIN_SULINDAC_TSA_1	0.0032258064516129	0.0375068917535246	0.820115572234341	2.01369952709252	0	9	TMSB4X|SAT1|FOS|GNAI2
IIZUKA_LIVER_CANCER_EARLY_RECURRENCE	0.0033003300330033	0.0378702930534017	0.878106211610773	2.36711147921574	0	11	HLA-DRA|LAPTM5|SGK1|VIM|TNFAIP3|REL
CHASSOT_SKIN_WOUND	0.00343642611683849	0.0390555159149997	0.881058224496927	2.24286678369865	0	10	EGR1|EGR3|EGR2|FOS|JUNB|REL|KLF2|FOSB
AGARWAL_AKT_PATHWAY_TARGETS	0.00343642611683849	0.0390555159149997	0.878384387896469	2.23606012878134	0	10	COX2|SPP1|PTGS2|VEGFA|MMP9
BUDHU_LIVER_CANCER_METASTASIS_UP	0.00343642611683849	0.0390555159149997	0.915182327656537	2.32973484232655	0	10	HLA-DRA|SRGN|IL8|ANXA1|HLA-DPA1
WHITESIDE_CISPLATIN_RESISTANCE_DN	0.00353356890459364	0.0395926002909998	0.84596770764962	2.33229407349607	0	12	ACTB|TIMP1|RPS9|KRT19|RPS16
MARTINELLI_IMMATURE_NEUTROPHIL_DN	0.00353356890459364	0.0395926002909998	0.762555933714436	2.10233164792155	0	12	SOD2|IL8|CSF3R|CXCR2|FCGR2A|CXCR1|ALPL|NCF2
PARK_TRETINOIN_RESPONSE	0.00353356890459364	0.0395926002909998	0.755312989225966	2.08236318298799	0	12	ALOX5AP|PLEK|SLA|FGR|NDRG1|PIM1|CEBPE|SMOX
BIOCARTA_CBL_PATHWAY	0.00366300366300366	0.0402901477249012	0.724077951549839	2.03852918479374	0	13	SH3KBP1|PRKCB
SANCHEZ_MDM2_TARGETS	0.00366300366300366	0.0402901477249012	0.705681711502215	1.98673742377231	0	13	TIMP1|IL1RN|HIST2H2BE|IGFBP6|CLIP3|INHBB|CCND1|RNF113A|CDKN1A
SA_MMP_CYTOKINE_CONNECTION	0.00374531835205993	0.0405345590738849	0.805632742112534	2.33410972750092	0	14	IL1B|CD44|IL6R|TNFRSF1A|SELL|TNFSF8|TNFRSF1B|TNFRSF8
CAIRO_PML_TARGETS_BOUND_BY_MYC_DN	0.00374531835205993	0.0405345590738849	0.772613635536221	2.23844551994766	0	14	FTH1|HSPA1B|ADM|TERT|CCND1|CDKN1A|IRF9|CDKN1B|PDGFRB|CDKN2B
LUI_THYROID_CANCER_CLUSTER_4	0.00374531835205993	0.0405345590738849	0.737966252884854	2.13806380921065	0	14	HLA-DRA|CD74|HLA-DPA1|IGLJ3|GUSBP11
LY_AGING_MIDDLE_UP	0.00374531835205993	0.0405345590738849	0.702319544257366	2.03478681336433	0	14	IL8|MMP12|SERPINB2|MMP10|CST6|HTRA1|CRYBB2|COMP
HOLLEMAN_VINCRISTINE_RESISTANCE_B_ALL_DN	0.00374531835205993	0.0405345590738849	0.777696687363904	2.25317233043611	0	14	TMSB10|RPS11|RPLP2|CD44|VIM|RPL12|RPS15A|CDKN2D
HUMMERICH_MALIGNANT_SKIN_TUMOR_UP	0.00389105058365759	0.0415452530927745	0.828783406136726	2.42779636808008	0	15	S100A8|SLPI|S100A9|KRT13|ECM1|RHOG|KRT16|COTL1|COL18A1|LTF|CCND1|GSTO1
DAZARD_UV_RESPONSE_CLUSTER_G3	0.00389105058365759	0.0415452530927745	0.82990188119874	2.43107277259451	0	15	S100A9|PPP1R15A|SPINK1|PRDM1|TNFAIP3|NR1D1|ADM|GAST
LEE_LIVER_CANCER_HEPATOBLAST	0.004	0.0424231625835189	0.819598893276771	2.45867653460763	0	16	TIMP1|PLAUR|CD44|PTGS2|KRT19|FOS|VIM|KRT7
MAHADEVAN_RESPONSE_TO_MP470_DN	0.00403225806451613	0.0424814444761633	0.8483244431759	2.661191365507	0	18	SOD2|DUSP1|NFIL3|PPP1R15A|GADD45B|HSPA6|GEM|DUSP5|BHLHE40|DDIT3|MAFF
HOLLEMAN_VINCRISTINE_RESISTANCE_ALL_DN	0.00403225806451613	0.0424814444761633	0.829848964761228	2.60323384226663	0	18	TMSB10|RPS2|RPLP2|CD44|RPL23A|RPL10|VIM|RPL12|RPS15A|RPS24
GRAHAM_CML_QUIESCENT_VS_CML_DIVIDING_UP	0.0045662100456621	0.0468626987875925	0.740877022018046	2.39624946334885	0	22	SOD2|IL8|ANXA5|IL1B|CXCL2|HIST1H2AC
CAVARD_LIVER_CANCER_MALIGNANT_VS_BENIGN	0.004739336492891	0.0478150855490401	0.796971418175888	2.74256788879623	0	29	MALAT1|FTH1|MYL6|ACTB|GLUL|CD74|HLA-C|SPP1|HLA-DRB3|CD14|SPINK1|CHI3L1
NAKAJIMA_EOSINOPHIL	0.004739336492891	0.0478150855490401	0.665974841317846	2.29177756302095	0	29	PLAUR|S100P|CCL4|MARCKSL1|CLC|CCL3|ALOX15|TFF3|P2RY14|CREM|ADORA3|CAMK1|HES1|OLR1
KIM_LRRC3B_TARGETS	0.004739336492891	0.0478150855490401	0.727660437558614	2.50405234677467	0	29	FTH1|EEF1A1|HLA-A|CD74|B2M|HLA-B|HLA-C|LYZ|IFITM2|HLA-E|TAP1|SERPINA1
