pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
UZONYI_RESPONSE_TO_LEUKOTRIENE_AND_THROMBIN	0.00531914893617021	0.0458043168789196	0.728116618310441	2.45482079287554	0	36	IL8|RGS2|ZFP36|DUSP1|MCL1|PTGS2|EGR1|EGR3|EGR2|CXCL2|FOSL2|GEM|KLF2|NDRG1|CREM|SIK1|NR4A3
KEGG_ALLOGRAFT_REJECTION	0.0054945054945055	0.0467229199372057	0.68573734031962	2.33669619919753	0	37	HLA-DRA|HLA-DQA1|HLA-A|HLA-B|HLA-C|HLA-G|HLA-DPA1|HLA-DRB4|HLA-E|HLA-DRB3
MUELLER_METHYLATED_IN_GLIOBLASTOMA	0.0054945054945055	0.0467229199372057	0.644003853145989	2.19448652922035	0	37	S100P|IER3|LAPTM5|LCN2|KRT19|TLR2|S100A4|CXCL2|AREG|GZMM|KRT17|SFN|MAST3|CDA|KRT4|NPTX2|LSR|RUNX3
GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_UP	0.00571428571428571	0.0478997344491832	0.599513146759051	2.03497876790314	0	39	FTH1|HLA-DQA1|NAMPT|SLC2A3|ANXA5|HLA-G|HLA-DPA1|ATP6V1B2|LST1|SEMA4D|CREM|CD83|MAFF
PARK_APL_PATHOGENESIS_DN	0.00574712643678161	0.0478997344491832	0.576242944380368	2.02612676421176	0	47	GLUL|IFI30|SRGN|IL8|LYZ|S100P|JUNB|LSP1|SERPINB2|CORO1A|BTG1|PRTN3|ELANE|CKAP4|SPI1|COL4A2|SRF|ASAH1|SMOX|NFKBIE|ZYX|MNDA|RNASE3|IL32|SRPK1|NR2F6
KEGG_TYPE_I_DIABETES_MELLITUS	0.00578034682080925	0.0478997344491832	0.61807796575148	2.09809719754804	0	42	HLA-DRA|HLA-DQA1|HLA-A|HLA-B|HLA-C|IL1B|HLA-G|HLA-DPA1|HLA-DRB4|HLA-E|HLA-DRB3
REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	0.00578034682080925	0.0478997344491832	0.749283837588399	2.56985968538542	0	44	RPS11|RPS2|RPS6|RPS3A|RPS27A|RPS20|RPS9|RPS25|RPS13|RPS27|RPS16|RPS18|RPS28|RPS3|RPS4X|RPS14|RPS19|RPS15A|RPS8|RPS15|RPS4Y1|RPS24|FAU|RPS10
ZUCCHI_METASTASIS_DN	0.00578034682080925	0.0478997344491832	0.601832793165518	2.04295213015375	0	42	SAT1|IL8|NFKBIA|ANXA1|EIF1|YWHAE|RHOA|PNRC1|CXCL2|AREG|GADD45B|PFN1|DDX5|KRT7|RASD1|MUCL1|TM4SF1
TAVOR_CEBPA_TARGETS_UP	0.00578034682080925	0.0478997344491832	0.61784692822155	2.11906334145164	0	44	SOD2|CXCR4|RGS2|LITAF|ANXA1|S100A9|BTG2|IL1RN|NFIL3|PTPRC|BCL2A1|TRIB1|LST1|CD7|ARC|BTG1|C3AR1|KLF5|ACSL1
MCDOWELL_ACUTE_LUNG_INJURY_UP	0.00578034682080925	0.0478997344491832	0.664498716443088	2.27906752649791	0	44	S100A8|CSTB|LITAF|NFKBIA|ZFP36|LCN2|DUSP1|MCL1|SPP1|BTG2|FOS|MAL|FCGR2A|SFN|LRG1|PTGES|TXNRD1
