GENBANK_ACCESSION	Name	Species
AK093305	MPV17, mitochondrial inner membrane protein(MPV17)	Homo sapiens
NM_002437	MPV17, mitochondrial inner membrane protein(MPV17)	Homo sapiens
BC001115	MPV17, mitochondrial inner membrane protein(MPV17)	Homo sapiens
AK123373	MPV17, mitochondrial inner membrane protein(MPV17)	Homo sapiens
AF088036	MPV17, mitochondrial inner membrane protein(MPV17)	Homo sapiens
NM_145918	cathepsin L(CTSL)	Homo sapiens
AK055599	cathepsin L(CTSL)	Homo sapiens
NM_001912	cathepsin L(CTSL)	Homo sapiens
NM_014206	transmembrane protein 258(TMEM258)	Homo sapiens
AF086763	transmembrane protein 258(TMEM258)	Homo sapiens
NM_182762	MACC1, MET transcriptional regulator(MACC1)	Homo sapiens
BC137090	MACC1, MET transcriptional regulator(MACC1)	Homo sapiens
NM_020117	leucyl-tRNA synthetase(LARS)	Homo sapiens
BC152422	leucyl-tRNA synthetase(LARS)	Homo sapiens
BC005080	immediate early response 3(IER3)	Homo sapiens
AF039067	immediate early response 3(IER3)	Homo sapiens
AF083421	immediate early response 3(IER3)	Homo sapiens
NM_003897	immediate early response 3(IER3)	Homo sapiens
BT006703	immediate early response 3(IER3)	Homo sapiens
BC000844	immediate early response 3(IER3)	Homo sapiens
S73591	thioredoxin interacting protein(TXNIP)	Homo sapiens
NM_006472	thioredoxin interacting protein(TXNIP)	Homo sapiens
NM_004417	dual specificity phosphatase 1(DUSP1)	Homo sapiens
BC022463	dual specificity phosphatase 1(DUSP1)	Homo sapiens
M60257	prosaposin(PSAP)	Homo sapiens
NM_001042466	prosaposin(PSAP)	Homo sapiens
NM_002778	prosaposin(PSAP)	Homo sapiens
NM_001042465	prosaposin(PSAP)	Homo sapiens
NM_001010883	family with sequence similarity 102 member B(FAM102B)	Homo sapiens
BC140863	family with sequence similarity 102 member B(FAM102B)	Homo sapiens
NM_006082	tubulin alpha 1b(TUBA1B)	Homo sapiens
DQ400107	tubulin alpha 1b(TUBA1B)	Homo sapiens
NM_005239	ETS proto-oncogene 2, transcription factor(ETS2)	Homo sapiens
BC042954	ETS proto-oncogene 2, transcription factor(ETS2)	Homo sapiens
NM_006931	solute carrier family 2 member 3(SLC2A3)	Homo sapiens
AB209607	solute carrier family 2 member 3(SLC2A3)	Homo sapiens
NM_017925	DENN domain containing 4C(DENND4C)	Homo sapiens
BC144484	DENN domain containing 4C(DENND4C)	Homo sapiens
NR_002715	RNA, 7SL, cytoplasmic 1(RN7SL1)	Homo sapiens
BC070202	cytoskeleton regulator RNA(CYTOR)	Homo sapiens
NR_024206	cytoskeleton regulator RNA(CYTOR)	Homo sapiens
NR_024205	cytoskeleton regulator RNA(CYTOR)	Homo sapiens
