GENBANK_ACCESSION	Name	Species
NM_021159	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
NM_001100430	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
BT006837	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
NM_001100426	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
AY376900	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
BC001816	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
AK295156	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
BC099845	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
BC099708	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
AF059618	COMM domain containing 2(COMMD2)	Homo sapiens
NM_016094	COMM domain containing 2(COMMD2)	Homo sapiens
NR_024437	uncharacterized LOC728323(LOC728323)	Homo sapiens
AK298283	uncharacterized LOC728323(LOC728323)	Homo sapiens
NM_001024466	superoxide dismutase 2, mitochondrial(SOD2)	Homo sapiens
BC012423	superoxide dismutase 2, mitochondrial(SOD2)	Homo sapiens
NM_000636	superoxide dismutase 2, mitochondrial(SOD2)	Homo sapiens
NM_001024465	superoxide dismutase 2, mitochondrial(SOD2)	Homo sapiens
BC112282	thymosin beta 4, X-linked pseudogene 6(TMSB4XP6)	Homo sapiens
AK095459	neuroblastoma breakpoint family member 14(NBPF14)	Homo sapiens
BC065192	RNA binding motif single stranded interacting protein 1(RBMS1)	Homo sapiens
NM_002897	RNA binding motif single stranded interacting protein 1(RBMS1)	Homo sapiens
NM_016836	RNA binding motif single stranded interacting protein 1(RBMS1)	Homo sapiens
NM_001042500	defensin alpha 1B(DEFA1B)	Homo sapiens
NM_002065	glutamate-ammonia ligase(GLUL)	Homo sapiens
NM_001033056	glutamate-ammonia ligase(GLUL)	Homo sapiens
BC011700	glutamate-ammonia ligase(GLUL)	Homo sapiens
NM_001033044	glutamate-ammonia ligase(GLUL)	Homo sapiens
AY894573	neuroblastoma breakpoint family member 8(NBPF8)	Homo sapiens
AY894563	neuroblastoma breakpoint family member 8(NBPF8)	Homo sapiens
AY894561	neuroblastoma breakpoint family member 8(NBPF8)	Homo sapiens
AY894567	neuroblastoma breakpoint family member 8(NBPF8)	Homo sapiens
AY894571	neuroblastoma breakpoint family member 8(NBPF8)	Homo sapiens
AY894562	neuroblastoma breakpoint family member 8(NBPF8)	Homo sapiens
AY894569	neuroblastoma breakpoint family member 8(NBPF8)	Homo sapiens
AY894572	neuroblastoma breakpoint family member 8(NBPF8)	Homo sapiens
BC086308	neuroblastoma breakpoint family member 8(NBPF8)	Homo sapiens
AY894568	neuroblastoma breakpoint family member 8(NBPF8)	Homo sapiens
AY894570	neuroblastoma breakpoint family member 8(NBPF8)	Homo sapiens
AK131040	uncharacterized LOC388022(LOC388022)	Homo sapiens
AY423734	SH3 domain containing kinase binding protein 1(SH3KBP1)	Homo sapiens
NM_006761	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon(YWHAE)	Homo sapiens
AY883089	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon(YWHAE)	Homo sapiens
NR_024058	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon(YWHAE)	Homo sapiens
NM_003937	kynureninase(KYNU)	Homo sapiens
U57721	kynureninase(KYNU)	Homo sapiens
NM_001032998	kynureninase(KYNU)	Homo sapiens
BC098358	solute carrier family 4 member 1 adaptor protein(SLC4A1AP)	Homo sapiens
NM_018158	solute carrier family 4 member 1 adaptor protein(SLC4A1AP)	Homo sapiens
AK290098	M-phase specific PLK1 interacting protein(MPLKIP)	Homo sapiens
AK057879	solute carrier family 17 member 7(SLC17A7)	Homo sapiens
NR_029493	microRNA 21(MIR21)	Homo sapiens
AY699265	microRNA 21(MIR21)	Homo sapiens
BC020891	major histocompatibility complex, class I, J (pseudogene)(HLA-J)	Homo sapiens
NR_024240	major histocompatibility complex, class I, J (pseudogene)(HLA-J)	Homo sapiens
L13388	platelet activating factor acetylhydrolase 1b regulatory subunit 1(PAFAH1B1)	Homo sapiens
NR_003369	RRN3 homolog, RNA polymerase I transcription factor pseudogene 2(RRN3P2)	Homo sapiens
AK301253	RRN3 homolog, RNA polymerase I transcription factor pseudogene 2(RRN3P2)	Homo sapiens
AK298442	RRN3 homolog, RNA polymerase I transcription factor pseudogene 2(RRN3P2)	Homo sapiens
AF086539	Sec61 translocon gamma subunit(SEC61G)	Homo sapiens
NM_014302	Sec61 translocon gamma subunit(SEC61G)	Homo sapiens
NM_001012456	Sec61 translocon gamma subunit(SEC61G)	Homo sapiens
NM_004136	iron responsive element binding protein 2(IREB2)	Homo sapiens
BC117481	iron responsive element binding protein 2(IREB2)	Homo sapiens
BC028382	vacuolar protein sorting 45 homolog(VPS45)	Homo sapiens
NM_007259	vacuolar protein sorting 45 homolog(VPS45)	Homo sapiens
AK295639	neuroblastoma breakpoint family member 19(NBPF19)	Homo sapiens
AK292666	neuroblastoma breakpoint family member 19(NBPF19)	Homo sapiens
CR936830	neuroblastoma breakpoint family member 19(NBPF19)	Homo sapiens
BC015516	serglycin(SRGN)	Homo sapiens
NM_002727	serglycin(SRGN)	Homo sapiens
NM_001625	adenylate kinase 2(AK2)	Homo sapiens
BC090040	adenylate kinase 2(AK2)	Homo sapiens
NM_013411	adenylate kinase 2(AK2)	Homo sapiens
NM_001004333	ribonuclease K(RNASEK)	Homo sapiens
BC051802	ribonuclease K(RNASEK)	Homo sapiens
NM_001826	CDC28 protein kinase regulatory subunit 1B(CKS1B)	Homo sapiens
BT007196	CDC28 protein kinase regulatory subunit 1B(CKS1B)	Homo sapiens
AK299612	neuroblastoma breakpoint family member 20(NBPF20)	Homo sapiens
BC028604	Ski2 like RNA helicase 2(SKIV2L2)	Homo sapiens
NM_015360	Ski2 like RNA helicase 2(SKIV2L2)	Homo sapiens
NM_014485	hematopoietic prostaglandin D synthase(HPGDS)	Homo sapiens
D82073	hematopoietic prostaglandin D synthase(HPGDS)	Homo sapiens
NM_006931	solute carrier family 2 member 3(SLC2A3)	Homo sapiens
AB209607	solute carrier family 2 member 3(SLC2A3)	Homo sapiens
NM_006773	DEAD-box helicase 18(DDX18)	Homo sapiens
